Hotspot_Name,Bird_Name
Taughannock Falls SP,Common Loon
Taughannock Falls SP,Yellow-rumped Warbler
Taughannock Falls SP,Mallard (Domestic type)
Taughannock Falls SP,gull sp.
Taughannock Falls SP,flycatcher sp. (Tyrannidae sp.)
Taughannock Falls SP,Red-breasted Merganser
Taughannock Falls SP,Caspian Tern
Taughannock Falls SP,Osprey
Taughannock Falls SP,Purple Martin
Taughannock Falls SP,Blue-gray Gnatcatcher
Taughannock Falls SP,House Wren
Taughannock Falls SP,Brown-headed Cowbird
Taughannock Falls SP,Palm Warbler
Taughannock Falls SP,Pine Warbler
Taughannock Falls SP,waterfowl sp.
Taughannock Falls SP,American Black Duck
Taughannock Falls SP,Ruby-crowned Kinglet
Taughannock Falls SP,Pied-billed Grebe
Taughannock Falls SP,Spotted Sandpiper
Taughannock Falls SP,Scarlet Tanager
Taughannock Falls SP,crow sp.
Taughannock Falls SP,Eastern Kingbird
Taughannock Falls SP,Cliff Swallow
Taughannock Falls SP,Indigo Bunting
Taughannock Falls SP,American Wigeon
Taughannock Falls SP,Ring-necked Duck
Taughannock Falls SP,Bufflehead
Taughannock Falls SP,Hooded Merganser
Taughannock Falls SP,Redhead
Taughannock Falls SP,Horned Grebe
Taughannock Falls SP,Gadwall
Taughannock Falls SP,Lesser Scaup
Taughannock Falls SP,Golden-crowned Kinglet
Taughannock Falls SP,Golden Eagle
Taughannock Falls SP,Blackpoll Warbler
Taughannock Falls SP,Chimney Swift
Taughannock Falls SP,duck sp.
Taughannock Falls SP,Wood Thrush
Taughannock Falls SP,Fish Crow
Taughannock Falls SP,House Sparrow
Taughannock Falls SP,Yellow-billed Cuckoo
Taughannock Falls SP,Louisiana Waterthrush
Taughannock Falls SP,Great Horned Owl
Taughannock Falls SP,Broad-winged Hawk
Taughannock Falls SP,Acadian Flycatcher
Taughannock Falls SP,Willow Flycatcher
Taughannock Falls SP,Ovenbird
Taughannock Falls SP,Black-and-white Warbler
Taughannock Falls SP,Hooded Warbler
Taughannock Falls SP,Black-throated Blue Warbler
Taughannock Falls SP,Sharp-shinned Hawk
Taughannock Falls SP,Least Flycatcher
Taughannock Falls SP,Bank Swallow
Taughannock Falls SP,Eastern Bluebird
Taughannock Falls SP,Field Sparrow
Taughannock Falls SP,swallow sp.
Taughannock Falls SP,Blackburnian Warbler
Taughannock Falls SP,Cape May Warbler
Taughannock Falls SP,Snow Goose
Taughannock Falls SP,Hermit Thrush
